DeliveryID,AgentID,StoreID,LocationID,WeatherID,TrafficID,CategoryID,OrderKey,Delivery_Time,Order_Time,Order_Date,Pickup_Time
2,649,1013,358,5,2,1,303,85,23:30:00,2022-03-25,23:45:00
3,824,567,129,3,5,3,309,165,21:25:00,2022-03-29,21:40:00
4,263,1011,364,6,2,4,325,70,22:45:00,2022-04-05,23:00:00
5,783,49,3430,3,3,13,330,135,11:55:00,2022-03-07,12:10:00
6,56,992,1567,7,5,6,338,155,21:00:00,2022-02-15,21:15:00
7,562,50,2482,6,2,12,340,39,23:25:00,2022-03-27,23:40:00
8,287,1081,1696,4,4,12,346,32,17:20:00,2022-03-08,17:25:00
9,437,751,1723,1,2,10,349,110,09:40:00,2022-04-01,09:45:00
10,27,751,198,5,4,14,357,115,18:30:00,2022-02-14,18:40:00
11,477,542,63,7,2,13,361,75,10:00:00,2022-04-01,10:15:00
12,613,751,2346,6,4,1,366,185,18:10:00,2022-03-25,18:25:00
13,926,249,4041,5,2,14,370,130,22:10:00,2022-03-06,22:15:00
14,1,475,3445,7,2,12,371,31,23:30:00,2022-04-05,23:45:00
15,506,656,37,3,5,16,376,240,21:25:00,2022-03-16,21:35:00
16,1004,1174,1478,6,4,11,379,210,18:35:00,2022-03-23,18:50:00
17,58,41,1313,7,2,4,384,120,22:45:00,2022-03-23,22:50:00
18,954,1055,3069,7,4,12,385,34,17:55:00,2022-03-19,18:10:00
19,787,229,4250,4,2,4,387,50,23:50:00,2022-03-04,00:00:00
20,165,284,3258,4,5,11,398,135,19:55:00,2022-03-12,20:10:00
21,373,656,1952,1,3,13,399,120,14:45:00,2022-03-28,15:00:00
22,1047,689,1427,1,5,6,400,90,21:35:00,2022-02-11,21:50:00
23,130,643,3066,6,4,10,404,75,18:50:00,2022-03-13,19:00:00
24,848,1209,1062,7,3,10,405,125,11:10:00,2022-03-21,11:20:00
25,446,238,2761,3,2,5,407,110,23:00:00,2022-03-20,23:10:00
26,529,650,2771,5,5,9,420,125,20:10:00,2022-03-01,20:20:00
27,455,179,4195,3,2,16,422,165,22:10:00,2022-03-02,22:20:00
28,919,658,558,7,2,12,427,29,08:35:00,2022-03-26,08:50:00
29,51,88,744,7,5,15,429,135,19:40:00,2022-03-08,19:55:00
30,51,537,3164,1,2,9,433,75,10:30:00,2022-03-13,10:40:00
31,471,701,3807,7,2,13,1158,135,23:45:00,2022-03-21,23:50:00
32,977,1207,3049,1,5,12,1170,54,19:45:00,2022-03-07,19:55:00
33,104,984,3093,1,5,9,1175,100,19:20:00,2022-03-20,19:35:00
34,214,699,3836,1,5,8,1177,105,19:10:00,2022-03-06,19:25:00
35,32,543,1365,5,2,1,1187,75,23:15:00,2022-03-27,23:20:00
36,533,1086,807,4,4,11,1193,165,17:40:00,2022-03-10,17:50:00
37,362,182,3548,4,2,9,1199,105,23:25:00,2022-02-11,23:35:00
38,162,384,2164,1,2,13,1208,165,23:40:00,2022-03-18,23:50:00
39,45,670,271,3,5,8,1216,130,19:20:00,2022-03-28,19:35:00
40,377,834,1408,5,4,3,1224,130,16:40:00,2022-03-21,16:45:00
41,897,634,1625,4,2,13,1225,135,23:10:00,2022-02-18,23:15:00
42,534,919,119,6,4,2,1239,85,15:25:00,2022-04-05,15:35:00
43,996,201,3444,4,2,16,1240,100,09:00:00,2022-02-15,09:15:00
44,677,915,3051,4,2,8,1242,55,10:45:00,2022-04-03,11:00:00
45,954,484,2193,5,4,1,1244,195,17:20:00,2022-04-01,17:25:00
46,659,1221,991,7,2,2,1246,130,23:50:00,2022-02-14,00:00:00
47,130,191,1884,7,4,4,1259,135,18:10:00,2022-02-16,18:25:00
48,235,207,737,5,2,2,1260,110,22:30:00,2022-03-17,22:45:00
49,971,543,2642,4,4,5,1264,100,18:15:00,2022-03-24,18:30:00
50,141,1007,3617,7,2,16,1265,120,08:40:00,2022-03-24,08:50:00
51,128,1254,3681,1,5,6,1269,140,19:45:00,2022-03-28,20:00:00
52,967,484,3070,5,2,1,1272,145,10:00:00,2022-03-26,10:10:00
53,475,1158,3309,3,3,8,1277,130,13:40:00,2022-04-05,13:45:00
54,392,112,92,4,4,6,1280,135,18:30:00,2022-03-23,18:35:00
55,556,111,638,6,4,9,1282,160,18:25:00,2022-03-07,18:40:00
56,793,526,4209,5,2,5,1294,55,09:15:00,2022-03-05,09:20:00
57,1001,401,4314,6,5,12,1296,26,21:45:00,2022-03-13,21:50:00
58,1047,511,3847,4,2,2,2018,135,23:55:00,2022-03-10,00:10:00
59,199,279,2167,6,5,11,2020,205,21:10:00,2022-03-14,21:25:00
60,746,836,2031,3,5,6,2021,265,19:10:00,2022-04-04,19:25:00
61,515,1174,2782,3,4,5,2031,200,17:25:00,2022-03-18,17:35:00
62,213,402,4314,1,5,9,2035,115,21:25:00,2022-03-15,21:35:00
63,681,279,828,7,4,8,2036,175,17:35:00,2022-03-31,17:40:00
64,981,393,3,7,2,4,2037,145,08:35:00,2022-03-05,08:40:00
65,783,520,3238,6,5,6,2039,135,21:20:00,2022-03-17,21:30:00
66,942,232,3129,7,5,4,2040,85,21:35:00,2022-04-03,21:45:00
67,128,1139,495,3,4,15,2044,195,17:10:00,2022-03-12,17:20:00
68,168,97,4258,7,3,8,2048,125,11:15:00,2022-03-30,11:20:00
69,1010,650,3953,6,5,6,2060,165,19:30:00,2022-03-23,19:40:00
70,401,88,975,6,4,3,2066,135,16:55:00,2022-03-07,17:05:00
71,58,341,1784,6,2,6,2090,130,10:45:00,2022-04-01,10:50:00
72,618,384,3391,7,4,1,2118,80,15:50:00,2022-03-17,16:00:00
73,1043,1270,424,5,3,15,2121,90,11:15:00,2022-03-28,11:30:00
74,401,215,3906,3,2,12,2131,36,23:20:00,2022-03-20,23:35:00
75,253,209,1225,6,5,16,2136,235,20:55:00,2022-04-04,21:10:00
76,111,538,2108,4,3,6,2137,160,14:15:00,2022-03-09,14:20:00
77,82,773,437,4,4,14,2144,145,15:55:00,2022-03-07,16:05:00
78,719,492,3328,4,3,15,2147,240,14:45:00,2022-03-15,14:50:00
79,1039,700,2961,7,3,10,2149,120,12:45:00,2022-03-26,12:55:00
80,128,1013,358,1,2,6,2157,150,23:45:00,2022-03-16,23:55:00
81,756,351,231,7,5,4,2884,50,21:25:00,2022-02-15,21:30:00
82,793,41,4195,5,4,12,2896,24,18:30:00,2022-03-23,18:40:00
83,707,793,3017,3,5,10,2901,210,20:10:00,2022-03-12,20:20:00
84,35,538,2108,5,3,1,2902,115,12:40:00,2022-03-26,12:45:00
85,331,1251,238,5,2,16,2907,95,22:35:00,2022-04-05,22:50:00
86,453,847,3746,3,5,16,2909,140,19:45:00,2022-03-30,19:55:00
87,627,673,4361,6,2,5,2915,100,23:40:00,2022-03-08,23:50:00
88,74,419,757,1,4,16,2920,110,16:35:00,2022-03-24,16:45:00
89,355,859,3220,6,5,10,2924,190,19:55:00,2022-03-08,20:10:00
90,401,364,2880,4,5,14,2925,145,20:35:00,2022-03-07,20:40:00
91,721,788,1886,7,2,8,2936,100,23:30:00,2022-04-05,23:35:00
92,514,284,1986,4,2,2,2937,75,08:35:00,2022-03-05,08:45:00
93,699,280,2306,6,5,2,2941,160,20:30:00,2022-03-15,20:45:00
94,950,1185,4177,4,4,14,2944,135,17:55:00,2022-02-14,18:10:00
95,277,226,4126,4,5,12,2958,20,21:20:00,2022-03-11,21:35:00
96,613,399,723,4,3,3,2963,170,12:40:00,2022-04-03,12:50:00
97,895,577,1292,4,2,1,2967,130,23:10:00,2022-03-08,23:15:00
98,128,1236,4358,7,5,6,2969,210,19:30:00,2022-03-02,19:35:00
99,746,97,4353,1,2,8,2973,100,22:10:00,2022-04-06,22:15:00
100,142,1349,1703,4,4,16,2977,190,18:00:00,2022-02-16,18:05:00
101,781,418,265,4,4,7,2980,90,19:00:00,2022-04-01,19:10:00
102,209,776,2535,7,2,12,578,24,09:50:00,2022-03-07,09:55:00
103,953,584,115,6,2,9,581,95,10:15:00,2022-03-03,10:30:00
104,294,238,2625,6,2,11,588,75,09:50:00,2022-03-05,10:05:00
105,84,683,3684,1,4,3,592,55,16:15:00,2022-03-13,16:25:00
106,287,56,3945,3,4,7,602,150,17:45:00,2022-02-16,17:55:00
107,157,1321,3197,1,2,5,610,75,22:50:00,2022-02-15,23:05:00
108,282,839,2086,3,4,16,612,195,17:35:00,2022-03-10,17:40:00
109,687,1184,4286,1,2,11,613,85,23:15:00,2022-02-17,23:25:00
110,928,1306,2291,1,2,4,619,120,09:00:00,2022-02-11,09:10:00
111,967,751,943,3,3,7,621,190,11:20:00,2022-03-26,11:30:00
112,289,412,1959,1,4,11,623,75,17:25:00,2022-03-11,17:30:00
113,510,1074,597,4,5,8,627,140,20:50:00,2022-02-12,21:00:00
114,256,399,4052,5,5,16,629,180,20:35:00,2022-04-02,20:50:00
115,637,677,3122,1,4,3,631,75,17:15:00,2022-03-24,17:25:00
116,660,986,4022,6,2,7,636,55,09:55:00,2022-04-05,10:05:00
117,310,924,1191,6,5,7,637,200,20:35:00,2022-02-12,20:50:00
118,597,35,2681,5,5,14,657,105,19:20:00,2022-02-14,19:35:00
119,835,968,2927,1,5,10,666,85,21:55:00,2022-03-12,22:00:00
120,779,1185,2211,5,4,5,676,90,19:00:00,2022-02-11,19:10:00
121,783,92,2312,5,2,8,684,75,09:20:00,2022-03-13,09:35:00
122,835,715,3170,7,5,9,685,135,21:15:00,2022-03-17,21:20:00
123,825,122,2986,6,5,7,689,210,20:00:00,2022-03-14,20:15:00
124,168,829,3083,3,3,10,692,135,14:00:00,2022-03-24,14:15:00
125,809,1217,892,1,5,8,695,90,19:20:00,2022-04-01,19:25:00
126,101,734,3221,1,5,15,712,110,21:55:00,2022-03-04,22:05:00
127,343,1008,1277,6,2,7,717,120,22:55:00,2022-03-18,23:05:00
128,601,481,263,1,5,2,719,55,21:45:00,2022-02-15,21:50:00
129,941,814,3435,4,2,10,1442,115,22:20:00,2022-03-14,22:35:00
130,963,751,1303,1,4,3,1445,115,17:30:00,2022-02-14,17:40:00
131,277,751,3909,7,5,13,1449,75,21:10:00,2022-04-06,21:15:00
132,660,134,1349,6,4,5,1450,165,18:00:00,2022-03-02,18:05:00
133,86,1300,1596,7,4,3,1455,110,18:40:00,2022-03-04,18:55:00
134,953,1143,669,3,2,2,1460,95,23:20:00,2022-03-13,23:30:00
135,79,836,2367,4,2,14,1465,110,22:25:00,2022-04-06,22:35:00
